Name,Section,Id,Term,Type,Days,Start Time,End Time,Instructor,Location,Enrollment Capacity,Enrollment Count,Waitlist Count,Drop Count,Id.1,Term.1
AEPS 101,1.0,5174,2218,Lec,F,02:10 PM,03:00 PM,"Tubeileh, A",008-0123,105.0,72.0,0.0,7.0,,
AEPS 101,1.0,5824,2208,Lec,,,,"Brown, W",,95.0,74.0,0.0,2.0,,
AEPS 110 5W1 /0,1.0,1710,2216,Lec,,,,,,0.0,0.0,0.0,11.0,,
AEPS 110 5W1 /0,2.0,1711,2216,Act,,,,,,24.0,0.0,0.0,11.0,,
AEPS 110 5W1,1.0,1954,2206,Lec,MWF,10:10 AM,12:00 PM,"Costello, M",999,24.0,23.0,0.0,15.0,,
AEPS 110 5W1,2.0,1955,2206,Act,TR,09:10 AM,11:00 AM,"Costello, M",999,24.0,23.0,0.0,15.0,,
AEPS 110,1.0,4329,2224,Lec,MWF,10:10 AM,11:00 AM,"Costello, M",186-C202,48.0,,,,,
AEPS 110,2.0,4407,2204,Act,,,,"Shelton, M",,24.0,24.0,0.0,18.0,,
AEPS 110,3.0,4408,2204,Act,,,,"Shelton, M",,24.0,22.0,0.0,12.0,,
AEPS 110 ,2.0,4532,2224,Act,T,08:10 AM,10:00 AM,"Costello, M",011-0118,24.0,,,,,
AEPS 110 ,3.0,4533,2224,Act,R,08:10 AM,10:00 AM,"Costello, M",011-0118,24.0,,,,,
AEPS 110,5.0,4794,2214,Lec,MWF,10:10 AM,11:00 AM,"Costello, M",999,48.0,45.0,3.0,44.0,,
AEPS 110,1.0,4868,2204,Lec,MWF,09:10 AM,10:00 AM,"Shelton, M",999,72.0,69.0,1.0,39.0,,
AEPS 110,1.0,4987,2198,Lec,MWF,09:10 AM,10:00 AM,"Shelton, M",014-0249,72.0,69.0,6.0,32.0,,
AEPS 110,2.0,4988,2198,Act,T,12:10 PM,02:00 PM,"Shelton, M",011-0118,24.0,23.0,2.0,10.0,,
AEPS 110,3.0,4989,2198,Act,T,02:10 PM,04:00 PM,"Shelton, M",011-0118,24.0,24.0,1.0,9.0,,
AEPS 110,4.0,4990,2198,Act,F,12:10 PM,02:00 PM,"Shelton, M",011-0118,24.0,22.0,3.0,14.0,,
AEPS 110,6.0,5074,2214,Act,T,08:10 AM,10:00 AM,"Costello, M",999,24.0,22.0,2.0,29.0,,
AEPS 110,7.0,5075,2214,Act,R,08:10 AM,10:00 AM,"Costello, M",999,24.0,23.0,1.0,17.0,,
AEPS 110,5.0,5385,2204,Lec,MWF,10:10 AM,11:00 AM,"Costello, M",999,48.0,46.0,0.0,15.0,,
AEPS 110,6.0,5750,2204,Act,T,08:10 AM,10:00 AM,"Costello, M",999,24.0,23.0,0.0,9.0,,
AEPS 110,7.0,5751,2204,Act,R,08:10 AM,10:00 AM,"Costello, M",999,24.0,23.0,0.0,6.0,,
AEPS 110 ,1.0,5823,2218,Lec,MWF,10:10 AM,11:00 AM,"Costello, M",010-0227,48.0,47.0,11.0,30.0,,
AEPS 110 ,2.0,5824,2218,Act,T,08:10 AM,10:00 AM,"Costello, M",011-0118,24.0,24.0,7.0,17.0,,
AEPS 110 ,3.0,6545,2218,Act,T,10:10 AM,12:00 PM,"Costello, M",011-0118,24.0,23.0,4.0,16.0,,
AEPS 110,1.0,6657,2208,Lec,MWF,10:10 AM,11:00 AM,"Costello, M",999,48.0,51.0,11.0,55.0,,
AEPS 110,2.0,6658,2208,Act,T,08:10 AM,10:00 AM,"Costello, M",999,24.0,24.0,5.0,28.0,,
AEPS 110,4.0,6663,2204,Act,,,,"Shelton, M",,24.0,23.0,1.0,11.0,,
AEPS 110,1.0,6952,2212,Lec,MWF,08:10 AM,09:00 AM,"Costello, M",999,72.0,71.0,1.0,21.0,,
AEPS 110,2.0,6953,2212,Act,T,04:10 PM,06:00 PM,"Costello, M",999,24.0,22.0,0.0,8.0,,
AEPS 110,3.0,6954,2212,Act,T,12:10 PM,02:00 PM,"Costello, M",999,24.0,24.0,1.0,4.0,,
AEPS 110,4.0,6955,2212,Act,T,02:10 PM,04:00 PM,"Costello, M",999,24.0,25.0,0.0,14.0,,
AEPS 110,5.0,7706,2198,Lec,MWF,10:10 AM,11:00 AM,"Costello, M",026-0106,48.0,48.0,0.0,18.0,,
AEPS 110,6.0,7707,2198,Act,T,08:10 AM,10:00 AM,"Costello, M",011-0118,24.0,25.0,1.0,12.0,,
AEPS 110,3.0,7736,2208,Act,T,10:10 AM,12:00 PM,"Costello, M",999,24.0,27.0,7.0,31.0,,
AEPS 110 ,4.0,7854,2224,Lec,TR,09:40 AM,11:00 AM,"Perry, R",186-C203,48.0,,,,,
AEPS 110,5.0,7987,2224,Act,T,12:10 PM,02:00 PM,"Perry, R",011-0118,24.0,,,,,
AEPS 110,6.0,7988,2224,Act,T,02:10 PM,04:00 PM,"Perry, R",011-0118,24.0,,,,,
AEPS 110,5.0,8172,2222,Lec,MW,04:10 PM,05:30 PM,"Perry, R",017J-0101,48.0,48.0,5.0,9.0,,
AEPS 110,1.0,8173,2202,Lec,MWF,08:10 AM,09:00 AM,"Costello, M",014-0249,72.0,66.0,0.0,28.0,,
AEPS 110 ,6.0,8173,2222,Act,W,08:10 AM,10:00 AM,"Perry, R",011-0118,24.0,24.0,2.0,5.0,,
