Id,Type,Term,Description,GE,Requirements,Department
AEPS 101,Act,2188,Orientation to Horticulture and Crop Science,,"HCS, CRSC or AEPS Majors Only",AEPS
AEPS 101,Lec,2188,Orientation to Horticulture and Crop Science,,"HCS, CRSC or AEPS Majors Only",AEPS
AEPS 101,Lec,2198,Orientation to Horticulture and Crop Science,,"HCS, CRSC or AEPS Majors Only",AEPS
AEPS 101,Lec,2208,Orientation to Horticulture and Crop Science,,"HCS, CRSC or AEPS Majors Only",AEPS
AEPS 101,Lec,2218,Orientation to Horticulture and Crop Science,,"HCS, CRSC or AEPS Majors Only",AEPS
AEPS 110,ACT,2182,"People, Pests and Plagues",B2B4,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Act,2184,"People, Pests and Plagues",B2B4,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Act,2188,"People, Pests and Plagues",B2B4,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Act,2194,"People, Pests and Plagues",B2B4,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Act,2198,"People, Pests and Plagues",B2B4,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Act,2202,"People, Pests and Plagues",B2B4,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Act,2204,"People, Pests and Plagues",B2B4,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Act,2208,"People, Pests and Plagues",B2B3,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Act,2212,"People, Pests and Plagues",B2B3,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Act,2214,"People, Pests and Plagues",B2B3,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Act,2218,"People, Pests and Plagues",B2B3,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Act,2222,"People, Pests and Plagues",B2B3,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Act,2224,"People, Pests and Plagues",B2B3,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,LEC,2182,"People, Pests and Plagues",B2B4,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Lec,2184,"People, Pests and Plagues",B2B4,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Lec,2188,"People, Pests and Plagues",B2B4,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Lec,2194,"People, Pests and Plagues",B2B4,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Lec,2198,"People, Pests and Plagues",B2B4,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Lec,2202,"People, Pests and Plagues",B2B4,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Lec,2204,"People, Pests and Plagues",B2B4,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Lec,2208,"People, Pests and Plagues",B2B3,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Lec,2212,"People, Pests and Plagues",B2B3,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Lec,2214,"People, Pests and Plagues",B2B3,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Lec,2218,"People, Pests and Plagues",B2B3,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Lec,2222,"People, Pests and Plagues",B2B3,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110,Lec,2224,"People, Pests and Plagues",B2B3,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110 5W1,Act,2206,"People, Pests and Plagues",B2B3,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110 5W1,Act,2216,"People, Pests and Plagues",B2B3,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 110 5W1,Lec,2206,"People, Pests and Plagues",B2B3,"Not open for degree credit to students majoring in AEPS, CRSC, FRSC, EHS nor WVIT",AEPS
AEPS 120,LAB,2182,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,LEC,2182,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lab,2184,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lab,2188,Principles of Horticulture and Crop Science,,,AEPS
