Id,Term,Location Capacity,Name,Building Number,Room Number
002-0013,2182 ,34,002 Cotchett Education,002,0013
002-0013,2184 ,34,002 Cotchett Education,002,0013
002-0013,2188 ,34,002 Cotchett Education,002,0013
002-0013,2192 ,34,002 Cotchett Education,002,0013
002-0013,2194 ,34,002 Cotchett Education,002,0013
002-0013,2198 ,34,002 Cotchett Education,002,0013
002-0013,2202 ,34,002 Cotchett Education,002,0013
002-0013,2218 ,34,002 Cotchett Education,002,0013
002-0013,2222 ,34,002 Cotchett Education,002,0013
002-0013,2224 ,34,002 Cotchett Education,002,0013
002-0101,2182 ,30,002 Cotchett Education,002,0101
002-0101,2184 ,30,002 Cotchett Education,002,0101
002-0101,2188 ,30,002 Cotchett Education,002,0101
002-0101,2192 ,30,002 Cotchett Education,002,0101
002-0101,2194 ,30,002 Cotchett Education,002,0101
002-0101,2198 ,30,002 Cotchett Education,002,0101
002-0101,2202 ,30,002 Cotchett Education,002,0101
002-0101,2218 ,30,002 Cotchett Education,002,0101
002-0101,2222 ,30,002 Cotchett Education,002,0101
002-0101,2224 ,30,002 Cotchett Education,002,0101
002-0113,2182 ,30,002 Cotchett Education,002,0113
002-0113,2184 ,30,002 Cotchett Education,002,0113
002-0113,2188 ,30,002 Cotchett Education,002,0113
002-0113,2192 ,30,002 Cotchett Education,002,0113
002-0113,2194 ,30,002 Cotchett Education,002,0113
002-0113,2196 ,30,002 Cotchett Education,002,0113
002-0113,2198 ,30,002 Cotchett Education,002,0113
002-0113,2202 ,30,002 Cotchett Education,002,0113
002-0113,2218 ,30,002 Cotchett Education,002,0113
002-0113,2222 ,30,002 Cotchett Education,002,0113
002-0113,2224 ,30,002 Cotchett Education,002,0113
002-0114,2182 ,36,002 Cotchett Education,002,0114
002-0114,2188 ,36,002 Cotchett Education,002,0114
002-0114,2192 ,36,002 Cotchett Education,002,0114
002-0114,2194 ,36,002 Cotchett Education,002,0114
002-0114,2198 ,36,002 Cotchett Education,002,0114
002-0114,2202 ,36,002 Cotchett Education,002,0114
002-0114,2218 ,36,002 Cotchett Education,002,0114
002-0114,2222 ,36,002 Cotchett Education,002,0114
002-0114,2224 ,36,002 Cotchett Education,002,0114
002-0125,2182 ,20,002 Cotchett Education,002,0125
002-0125,2184 ,20,002 Cotchett Education,002,0125
002-0125,2186 ,20,002 Cotchett Education,002,0125
002-0125,2188 ,20,002 Cotchett Education,002,0125
002-0125,2192 ,20,002 Cotchett Education,002,0125
002-0125,2194 ,20,002 Cotchett Education,002,0125
002-0125,2196 ,20,002 Cotchett Education,002,0125
002-0125,2198 ,20,002 Cotchett Education,002,0125
002-0125,2202 ,20,002 Cotchett Education,002,0125
002-0125,2222 ,20,002 Cotchett Education,002,0125
002-0125,2224 ,20,002 Cotchett Education,002,0125
002-0126,2182 ,50,002 Cotchett Education,002,0126
002-0126,2184 ,50,002 Cotchett Education,002,0126
002-0126,2188 ,50,002 Cotchett Education,002,0126
002-0126,2192 ,50,002 Cotchett Education,002,0126
002-0126,2194 ,50,002 Cotchett Education,002,0126
002-0126,2198 ,50,002 Cotchett Education,002,0126
002-0126,2202 ,50,002 Cotchett Education,002,0126
002-0126,2218 ,50,002 Cotchett Education,002,0126
002-0126,2222 ,50,002 Cotchett Education,002,0126
002-0126,2224 ,50,002 Cotchett Education,002,0126
002-0127,2182 ,54,002 Cotchett Education,002,0127
002-0127,2184 ,54,002 Cotchett Education,002,0127
