Code,Term,Name,Catalog CIP Code,College
AEPS,2182 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2184 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2186 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2188 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2192 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2194 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2196 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2198 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2202 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2204 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2206 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2208 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2212 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2214 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2216 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2218 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2222 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AEPS,2224 ,Ag and Environmental Plant Science,01.1102 AEPS,CAGR
AG,2182 ,Agriculture,01.0000 AG,CAGR
AG,2184 ,Agriculture,01.0000 AG,CAGR
AG,2188 ,Agriculture,01.0000 AG,CAGR
AG,2192 ,Agriculture,01.0000 AG,CAGR
AG,2194 ,Agriculture,01.0000 AG,CAGR
AG,2198 ,Agriculture,01.0000 AG,CAGR
AG,2202 ,Agriculture,01.0000 AG,CAGR
AG,2204 ,Agriculture,01.0000 AG,CAGR
AG,2208 ,Agriculture,01.0000 AG,CAGR
AG,2212 ,Agriculture,01.0000 AG,CAGR
AG,2214 ,Agriculture,01.0000 AG,CAGR
AG,2218 ,Agriculture,01.0000 AG,CAGR
AG,2222 ,Agriculture,01.0000 AG,CAGR
AG,2224 ,Agriculture,01.0000 AG,CAGR
AGB,2182 ,Agribusiness,01.0101 AGB,CAGR
AGB,2184 ,Agribusiness,01.0101 AGB,CAGR
AGB,2186 ,Agribusiness,01.0101 AGB,CAGR
AGB,2188 ,Agribusiness,01.0101 AGB,CAGR
AGB,2192 ,Agribusiness,01.0101 AGB,CAGR
AGB,2194 ,Agribusiness,01.0101 AGB,CAGR
AGB,2196 ,Agribusiness,01.0101 AGB,CAGR
AGB,2198 ,Agribusiness,01.0101 AGB,CAGR
AGB,2202 ,Agribusiness,01.0101 AGB,CAGR
AGB,2204 ,Agribusiness,01.0101 AGB,CAGR
AGB,2206 ,Agribusiness,01.0101 AGB,CAGR
AGB,2208 ,Agribusiness,01.0101 AGB,CAGR
AGB,2212 ,Agribusiness,01.0101 AGB,CAGR
AGB,2214 ,Agribusiness,01.0101 AGB,CAGR
AGB,2216 ,Agribusiness,01.0101 AGB,CAGR
AGB,2218 ,Agribusiness,01.0101 AGB,CAGR
AGB,2222 ,Agribusiness,01.0101 AGB,CAGR
AGB,2224 ,Agribusiness,01.0101 AGB,CAGR
AGC,2182 ,Agricultural Communication,01.0000 AGC,CAGR
AGC,2184 ,Agricultural Communication,01.0000 AGC,CAGR
AGC,2186 ,Agricultural Communication,01.0000 AGC,CAGR
AGC,2188 ,Agricultural Communication,01.0000 AGC,CAGR
AGC,2192 ,Agricultural Communication,01.0000 AGC,CAGR
AGC,2194 ,Agricultural Communication,01.0000 AGC,CAGR
AGC,2198 ,Agricultural Communication,01.0000 AGC,CAGR
AGC,2202 ,Agricultural Communication,01.0000 AGC,CAGR
AGC,2204 ,Agricultural Communication,01.0000 AGC,CAGR
