Id,Name,Term Start,Term End
2182 ,Winter 2018,2018-01-08,2018-03-16
2184 ,Spring Quarter 2018,2018-04-02,2018-06-08
2186 ,Summer Quarter 2018,2018-06-25,2018-08-31
2188 ,Fall Quarter 2018,2018-09-20,2018-12-07
2192 ,Winter Quarter 2019,2019-01-07,2019-03-15
2194 ,Spring Quarter 2019,2019-04-02,2019-06-07
2196 ,Summer Quarter 2019,2019-06-24,2019-08-30
2198 ,Fall Quarter 2019,2019-09-19,2019-12-06
2202 ,Winter Quarter 2020,2020-01-06,2020-03-13
2204 ,Spring Quarter 2020,2020-04-06,2020-06-05
2206 ,Summer Quarter 2020,2020-06-22,2020-08-28
2208 ,Fall Quarter 2020,2020-09-14,2020-11-24
2212 ,Winter Quarter 2021,2021-01-04,2021-03-12
2214 ,Spring Quarter 2021,2021-03-29,2021-06-04
2216 ,Summer Quarter 2021,2021-06-21,2021-08-27
2218 ,Fall Quarter 2021,2021-09-20,2021-12-03
2222 ,Winter Quarter 2022,2022-01-03,2022-03-11
2224 ,Spring Quarter 2022,2022-03-28,2022-06-03
2226 ,Summer Quarter 2022,2022-06-20,2022-08-26
